workload,system,cohort_path,run_id,seed,mode,N,tenant_id,t_start,t_end,concurrent_runtime,internal_runtime,figure_of_merit,fom_name,fixed_work_units,cpu_s,max_rss_kib,exit_status,correctness_status,sospechoso,derivacion
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,00,sync,4,2,1785286032.6494818,1785286084.137074,51.487592,49.11,12217477.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,00,sync,4,0,1785286032.6498494,1785286084.1445026,51.494653,49.109,12217697.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,00,sync,4,1,1785286032.6493936,1785286084.6052918,51.955898,12.439,48235163.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed02,02,sync,2,0,1785286549.4731154,1785286576.1936445,26.720529,12.284,48842800.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed02,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed02,02,sync,2,1,1785286549.473223,1785286576.190228,26.717005,24.464,24525391.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed01,01,sync,2,0,1785286494.0646849,1785286520.5500393,26.485354,24.471,24518785.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed01,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed01,01,sync,2,1,1785286494.0649042,1785286520.5540435,26.489139,12.29,48818221.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed03,03,sync,2,0,1785286605.068248,1785286631.6450238,26.576776,12.263,48927564.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed03,03,sync,2,1,1785286605.0684648,1785286631.6410675,26.572603,24.45,24540376.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed04,04,sync,2,0,1785286660.3953342,1785286686.8966284,26.501294,12.281,48854496.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
