system,N,seed,cohort,tenant_id,runtime_s,wall_s,lookups_per_s,normalized_progress,slowdown
baremetal,8,06,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed06,1,96.017,97.53217,6248868.0,0.1232,8.1198
baremetal,8,06,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed06,2,96.016,97.578441,6248990.0,0.1232,8.1197
baremetal,8,06,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed06,3,96.013,97.433217,6249163.0,0.1232,8.1195
baremetal,8,06,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed06,4,96.013,97.508629,6249148.0,0.1232,8.1195
baremetal,8,06,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed06,5,96.013,97.483392,6249160.0,0.1232,8.1195
baremetal,8,06,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed06,6,96.02,97.408675,6248681.0,0.1232,8.1201
baremetal,8,06,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed06,7,96.013,97.45846,6249126.0,0.1232,8.1195
baremetal,8,07,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed07,0,97.782,99.245685,6136098.0,0.1209,8.2691
baremetal,8,07,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed07,1,97.834,99.143949,6132839.0,0.1209,8.2735
baremetal,8,07,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed07,2,97.777,99.195653,6136409.0,0.1209,8.2687
baremetal,8,07,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed07,3,97.827,99.220319,6133279.0,0.1209,8.2729
baremetal,8,07,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed07,4,97.781,99.168575,6136148.0,0.1209,8.269
baremetal,8,07,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed07,5,97.778,99.292902,6136324.0,0.1209,8.2688
baremetal,8,07,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed07,6,97.785,99.315059,6135940.0,0.1209,8.2693
baremetal,8,07,xsbench_campaign/results/xsbench/baremetal/N8/sync/seed07,7,97.777,99.268839,6136383.0,0.1209,8.2687
rdma,2,00,xsbench_campaign/results/xsbench/rdma/N2/sync/seed00,0,24.569,27.332,24421050.0,0.4881,2.0488
rdma,2,00,xsbench_campaign/results/xsbench/rdma/N2/sync/seed00,1,12.298,27.336008,48786735.0,0.9751,1.0255
rdma,2,01,xsbench_campaign/results/xsbench/rdma/N2/sync/seed01,0,12.314,27.032223,48723916.0,0.9739,1.0269
rdma,2,01,xsbench_campaign/results/xsbench/rdma/N2/sync/seed01,1,24.58,27.026911,24410273.0,0.4879,2.0497
rdma,2,02,xsbench_campaign/results/xsbench/rdma/N2/sync/seed02,0,24.762,27.344155,24231018.0,0.4843,2.0649
rdma,2,02,xsbench_campaign/results/xsbench/rdma/N2/sync/seed02,1,12.446,27.389827,48206478.0,0.9635,1.0379
rdma,2,03,xsbench_campaign/results/xsbench/rdma/N2/sync/seed03,0,24.888,27.482281,24107802.0,0.4818,2.0754
rdma,2,03,xsbench_campaign/results/xsbench/rdma/N2/sync/seed03,1,12.467,27.486204,48128387.0,0.9619,1.0396
rdma,2,04,xsbench_campaign/results/xsbench/rdma/N2/sync/seed04,0,12.436,27.20419,48247959.0,0.9643,1.037
