workload,system,N,lambda_total,label,rep,stable,tenants,req_min,req_max,desbalance_demanda,jain_demanda,jain_completion_fraction,jain_token_service_fraction,jain_slo_1s_fraction,jain_slo_5s_fraction,jain_share_normalizada,completion_fraction_min,completion_fraction_max,slo_5s_min,slo_5s_max,timeout_fraction_min,timeout_fraction_max,null_completion_fraction_p50,null_completion_fraction_p05,p_completion_fraction,null_slo_5s_fraction_p50,null_slo_5s_fraction_p05,p_slo_5s_fraction
llama7b,nativo,1,1.0,mtbm_n1_l1.0,1,STABLE,1,30,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,1,STABLE,8,2,8,4.0,0.8036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,2,STABLE,8,2,8,4.0,0.8036,1.0,1.0,0.9982,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,10,1.0,mt_ucx_gpudirect_n10_l1.0,1,STABLE,10,1,7,7.0,0.7188,1.0,1.0,0.9647,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,6,1.0,mt_ucx_gpudirect_n6_l1.0,1,STABLE,6,1,6,6.0,0.7742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,4,1.0,mt_ucx_gpudirect_n4_l1.0,1,STABLE,4,6,10,1.667,0.9534,1.0,1.0,0.9944,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,4,1.0,mt_ucx_gpudirect_n4_l1.0,2,STABLE,4,6,10,1.667,0.9534,1.0,1.0,0.9936,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,4,1.0,mt_ucx_gpudirect_n4_l1.0,3,STABLE,4,6,10,1.667,0.9534,1.0,1.0,0.9936,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,2,1.0,mt_ucx_gpudirect_n2_l1.0,1,STABLE,2,14,16,1.143,0.9956,1.0,1.0,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,2,1.0,mt_ucx_gpudirect_n2_l1.0,2,STABLE,2,14,16,1.143,0.9956,1.0,1.0,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,2,1.0,mt_ucx_gpudirect_n2_l1.0,3,STABLE,2,7,11,1.571,0.9529,1.0,1.0,0.9977,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,2,1.0,mt_ucx_gpudirect_n2_l1.0,4,STABLE,2,7,11,1.571,0.9529,1.0,1.0,0.9977,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,2,1.0,mt_ucx_gpudirect_n2_l1.0,5,STABLE,2,7,11,1.571,0.9529,1.0,1.0,0.9977,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b,gusto_gpudirect,1,1.0,mt_ucx_gpudirect_n1_l1.0,1,STABLE,1,30,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
