tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
mf_oracle_pageable_r1,4096,h2d,pageable,cached,20,0.000027091,0.1512,0.000026319,0.000028943
mf_oracle_pageable_r1,4096,d2h,pageable,cached,20,0.000028122,0.1457,0.000027411,0.000039478
mf_oracle_pageable_r1,8192,h2d,pageable,cached,20,0.000028653,0.2859,0.000027991,0.000029664
mf_oracle_pageable_r1,8192,d2h,pageable,cached,20,0.000029855,0.2744,0.000029193,0.000030385
mf_oracle_pageable_r1,16384,h2d,pageable,cached,20,0.000031167,0.5257,0.000030495,0.000031497
mf_oracle_pageable_r1,16384,d2h,pageable,cached,20,0.000034441,0.4757,0.000033319,0.000039859
mf_oracle_pageable_r1,32768,h2d,pageable,cached,20,0.000032598,1.0052,0.000032058,0.000034251
mf_oracle_pageable_r1,32768,d2h,pageable,cached,20,0.000034842,0.9405,0.000034281,0.000035533
mf_oracle_pageable_r1,65536,h2d,pageable,cached,20,0.000038307,1.7108,0.000037857,0.000038798
mf_oracle_pageable_r1,65536,d2h,pageable,cached,20,0.000042633,1.5372,0.000042083,0.000058467
mf_oracle_pageable_r1,131072,h2d,pageable,cached,20,0.000048332,2.7119,0.000047420,0.000049824
mf_oracle_pageable_r1,131072,d2h,pageable,cached,20,0.000057735,2.2702,0.000056624,0.000061351
mf_oracle_pageable_r1,262144,h2d,pageable,cached,20,0.000070524,3.7171,0.000069673,0.000079378
mf_oracle_pageable_r1,262144,d2h,pageable,cached,20,0.000089273,2.9364,0.000086990,0.000105156
mf_oracle_pageable_r1,524288,h2d,pageable,cached,20,0.000117314,4.4691,0.000114300,0.000126998
mf_oracle_pageable_r1,524288,d2h,pageable,cached,20,0.000145417,3.6054,0.000143824,0.000161360
mf_oracle_pageable_r1,1048576,h2d,pageable,cached,20,0.000247508,4.2365,0.000188590,0.003634925
mf_oracle_pageable_r1,1048576,d2h,pageable,cached,20,0.000330902,3.1688,0.000327526,0.000341007
mf_oracle_pageable_r1,2097152,h2d,pageable,cached,20,0.000297983,7.0378,0.000296310,0.000668514
mf_oracle_pageable_r1,2097152,d2h,pageable,cached,20,0.000620132,3.3818,0.000614183,0.000665559
mf_oracle_pageable_r1,4194304,h2d,pageable,cached,20,0.000524830,7.9917,0.000519252,0.000629456
mf_oracle_pageable_r1,4194304,d2h,pageable,cached,20,0.000536998,7.8107,0.000530419,0.000573563
