tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
mf_oracle_pageable_r3,4096,h2d,pageable,cached,20,0.000027000,0.1517,0.000026209,0.000028372
mf_oracle_pageable_r3,4096,d2h,pageable,cached,20,0.000028262,0.1449,0.000027441,0.000028713
mf_oracle_pageable_r3,8192,h2d,pageable,cached,20,0.000029254,0.2800,0.000028763,0.000030305
mf_oracle_pageable_r3,8192,d2h,pageable,cached,20,0.000029854,0.2744,0.000029164,0.000030926
mf_oracle_pageable_r3,16384,h2d,pageable,cached,20,0.000030785,0.5322,0.000030205,0.000033870
mf_oracle_pageable_r3,16384,d2h,pageable,cached,20,0.000031858,0.5143,0.000031246,0.000032558
mf_oracle_pageable_r3,32768,h2d,pageable,cached,20,0.000033479,0.9788,0.000032659,0.000034351
mf_oracle_pageable_r3,32768,d2h,pageable,cached,20,0.000034862,0.9399,0.000034161,0.000035563
mf_oracle_pageable_r3,65536,h2d,pageable,cached,20,0.000038417,1.7059,0.000037145,0.000040100
mf_oracle_pageable_r3,65536,d2h,pageable,cached,20,0.000042894,1.5279,0.000042313,0.000044065
mf_oracle_pageable_r3,131072,h2d,pageable,cached,20,0.000048722,2.6902,0.000047680,0.000050375
mf_oracle_pageable_r3,131072,d2h,pageable,cached,20,0.000057435,2.2821,0.000056174,0.000061692
mf_oracle_pageable_r3,262144,h2d,pageable,cached,20,0.000071597,3.6614,0.000070435,0.000073439
mf_oracle_pageable_r3,262144,d2h,pageable,cached,20,0.000089844,2.9178,0.000088461,0.000095041
mf_oracle_pageable_r3,524288,h2d,pageable,cached,20,0.000116093,4.5161,0.000111175,0.000147489
mf_oracle_pageable_r3,524288,d2h,pageable,cached,20,0.000145847,3.5948,0.000144165,0.000151746
mf_oracle_pageable_r3,1048576,h2d,pageable,cached,20,0.000193147,5.4289,0.000190773,0.000225375
mf_oracle_pageable_r3,1048576,d2h,pageable,cached,20,0.000332675,3.1520,0.000327627,0.000348328
mf_oracle_pageable_r3,2097152,h2d,pageable,cached,20,0.000299786,6.9955,0.000295529,0.000334958
mf_oracle_pageable_r3,2097152,d2h,pageable,cached,20,0.000619982,3.3826,0.000615005,0.001026707
mf_oracle_pageable_r3,4194304,h2d,pageable,cached,20,0.000523478,8.0124,0.000517479,0.000603958
mf_oracle_pageable_r3,4194304,d2h,pageable,cached,20,0.000528446,7.9371,0.000524159,0.000555906
