tag,bytes,direction,mem,reg,iters,median_s,gbytes_per_s,min_s,max_s
mf_scalar_pinned_r3,4096,h2d,pinned,cached,20,0.000027300,0.1500,0.000026790,0.000028743
mf_scalar_pinned_r3,4096,d2h,pinned,cached,20,0.000028362,0.1444,0.000027741,0.000028913
mf_scalar_pinned_r3,8192,h2d,pinned,cached,20,0.000031137,0.2631,0.000030505,0.000038377
mf_scalar_pinned_r3,8192,d2h,pinned,cached,20,0.000030375,0.2697,0.000029824,0.000032428
mf_scalar_pinned_r3,16384,h2d,pinned,cached,20,0.000029644,0.5527,0.000028933,0.000030696
mf_scalar_pinned_r3,16384,d2h,pinned,cached,20,0.000031797,0.5153,0.000030765,0.000039849
mf_scalar_pinned_r3,32768,h2d,pinned,cached,20,0.000030956,1.0585,0.000030455,0.000031967
mf_scalar_pinned_r3,32768,d2h,pinned,cached,20,0.000035343,0.9271,0.000034762,0.000036143
mf_scalar_pinned_r3,65536,h2d,pinned,cached,20,0.000033289,1.9687,0.000032679,0.000034151
mf_scalar_pinned_r3,65536,d2h,pinned,cached,20,0.000042903,1.5275,0.000041041,0.000045938
mf_scalar_pinned_r3,131072,h2d,pinned,cached,20,0.000038407,3.4127,0.000037797,0.000039459
mf_scalar_pinned_r3,131072,d2h,pinned,cached,20,0.000057746,2.2698,0.000056504,0.000059618
mf_scalar_pinned_r3,262144,h2d,pinned,cached,20,0.000055783,4.6994,0.000054291,0.000062894
mf_scalar_pinned_r3,262144,d2h,pinned,cached,20,0.000089353,2.9338,0.000088181,0.000106548
mf_scalar_pinned_r3,524288,h2d,pinned,cached,20,0.000053870,9.7325,0.000053179,0.000054841
mf_scalar_pinned_r3,524288,d2h,pinned,cached,20,0.000146828,3.5708,0.000144946,0.000175531
mf_scalar_pinned_r3,1048576,h2d,pinned,cached,20,0.000077946,13.4526,0.000077085,0.000079088
mf_scalar_pinned_r3,1048576,d2h,pinned,cached,20,0.000334378,3.1359,0.000330061,0.000345113
mf_scalar_pinned_r3,2097152,h2d,pinned,cached,20,0.000114820,18.2647,0.000113799,0.000115792
mf_scalar_pinned_r3,2097152,d2h,pinned,cached,20,0.000628785,3.3352,0.000624179,0.000649987
mf_scalar_pinned_r3,4194304,h2d,pinned,cached,20,0.000200969,20.8704,0.000199347,0.000201940
mf_scalar_pinned_r3,4194304,d2h,pinned,cached,20,0.000208440,20.1224,0.000207989,0.000210413
