system,N,lam,rep,goodput,ttft_p95,pct_1s,timeouts,worst_tenant_1s,tenants_con_demanda,goodput_bruto,estable
bmmps,8,0.5,3,60.8,421.0,100.0,0,100.0,8,62.4,STABLE
bmmps,8,0.75,1,89.4,48.0,100.0,0,100.0,8,94.2,STABLE
bmmps,8,0.75,2,53.1,115.0,100.0,0,100.0,6,55.5,STABLE
bmmps,8,0.75,3,91.8,1019.0,94.7,0,71.42857142857143,8,94.2,STABLE
bmmps,8,1.0,1,118.4,601.0,100.0,0,100.0,8,128.0,STABLE
bmmps,8,1.0,2,73.6,569.0,95.7,0,75.0,6,80.0,STABLE
bmmps,8,1.0,3,128.0,3453.0,82.5,0,42.857142857142854,8,134.4,STABLE
bmmps,8,1.5,1,153.6,6320.0,72.2,0,11.11111111111111,8,213.3,STABLE
bmmps,8,1.5,2,119.5,2395.0,78.6,0,44.44444444444444,8,140.8,STABLE
bmmps,8,1.5,3,162.1,9600.0,47.4,0,10.0,8,213.3,STABLE
ucx,2,0.5,1,57.6,938.0,97.2,0,95.23809523809524,2,60.8,STABLE
ucx,2,0.5,2,35.2,620.0,100.0,0,100.0,2,36.8,STABLE
ucx,2,0.5,3,60.8,960.0,97.4,0,95.0,2,62.4,STABLE
ucx,2,0.75,1,89.4,983.0,97.3,0,95.0,2,94.2,STABLE
ucx,2,0.75,2,50.7,1070.0,90.5,0,85.71428571428571,2,55.5,STABLE
ucx,2,0.75,3,91.8,2979.0,76.3,0,63.1578947368421,2,94.2,STABLE
ucx,2,1.0,1,118.4,1506.0,83.8,0,73.6842105263158,2,128.0,STABLE
ucx,2,1.0,2,73.6,1303.0,82.6,0,83.33333333333333,2,80.0,STABLE
ucx,2,1.0,3,124.8,4684.0,43.6,0,42.10526315789474,2,131.2,STABLE
ucx,2,1.5,1,149.3,7886.0,20.0,0,8.0,2,213.3,STABLE
ucx,2,1.5,2,115.2,3321.0,66.7,0,50.0,2,140.8,STABLE
ucx,2,1.5,3,153.6,10113.0,2.8,0,0.0,2,213.3,STABLE
ucx,4,0.5,1,57.6,936.0,97.2,0,90.0,4,60.8,STABLE
ucx,4,0.5,2,35.2,621.0,100.0,0,100.0,4,36.8,STABLE
ucx,4,0.5,3,60.8,960.0,97.4,0,90.9090909090909,4,62.4,STABLE
ucx,4,0.75,1,89.4,951.0,97.3,0,90.0,4,94.2,STABLE
ucx,4,0.75,2,50.7,1033.0,90.5,0,83.33333333333333,4,55.5,STABLE
ucx,4,0.75,3,91.8,2301.0,78.9,0,64.28571428571429,4,94.2,STABLE
ucx,4,1.0,1,118.4,1407.0,94.6,0,90.0,4,128.0,STABLE
ucx,4,1.0,2,73.6,1210.0,91.3,0,83.33333333333333,4,80.0,STABLE
ucx,4,1.0,3,124.8,4809.0,61.5,0,35.714285714285715,4,131.2,STABLE
ucx,4,1.5,1,157.9,6605.0,45.9,0,15.384615384615385,4,213.3,STABLE
ucx,4,1.5,2,119.5,2751.0,71.4,0,38.46153846153846,4,140.8,STABLE
ucx,4,1.5,3,157.9,12613.0,32.4,0,0.0,4,209.1,STABLE
ucx,8,0.5,1,57.6,603.0,100.0,0,100.0,8,60.8,STABLE
ucx,8,0.5,2,35.2,197.0,100.0,0,100.0,7,36.8,STABLE
ucx,8,0.5,3,60.8,750.0,100.0,0,100.0,8,62.4,STABLE
ucx,8,0.75,1,89.4,437.0,100.0,0,100.0,8,94.2,STABLE
ucx,8,0.75,2,50.7,348.0,100.0,0,100.0,6,55.5,STABLE
ucx,8,0.75,3,91.8,1562.0,92.1,0,71.42857142857143,8,94.2,STABLE
ucx,8,1.0,1,118.4,761.0,100.0,0,100.0,8,128.0,STABLE
ucx,8,1.0,2,73.6,600.0,95.7,0,75.0,6,80.0,STABLE
ucx,8,1.0,3,128.0,3491.0,75.0,0,28.571428571428573,8,134.4,STABLE
ucx,8,1.5,1,153.6,4983.0,66.7,0,0.0,8,213.3,STABLE
ucx,8,1.5,2,119.5,2474.0,78.6,0,33.333333333333336,8,140.8,STABLE
ucx,8,1.5,3,162.1,9475.0,26.3,0,0.0,8,213.3,STABLE
