rep,signal,exit_code,killed_by,segv,abrt,teardown_emitted,signal_delivered,wall_ms
1,TERM,143,15,0,0,0,1,2789
2,TERM,143,15,0,0,0,1,3275
3,TERM,143,15,0,0,0,1,3273
4,TERM,143,15,0,0,0,1,3274
5,TERM,143,15,0,0,0,1,3273
6,TERM,143,15,0,0,0,1,3270
7,TERM,143,15,0,0,0,1,3276
8,TERM,143,15,0,0,0,1,3276
9,TERM,143,15,0,0,0,1,3274
10,TERM,143,15,0,0,0,1,3277
