rep,signal,exit_code,killed_by,segv,abrt,teardown_emitted,signal_delivered,wall_ms
1,KILL,137,9,0,0,0,1,3272
2,KILL,137,9,0,0,0,1,3273
3,KILL,137,9,0,0,0,1,3274
4,KILL,137,9,0,0,0,1,3274
5,KILL,137,9,0,0,0,1,3271
6,KILL,137,9,0,0,0,1,3272
7,KILL,137,9,0,0,0,1,3275
8,KILL,137,9,0,0,0,1,3277
9,KILL,137,9,0,0,0,1,3275
10,KILL,137,9,0,0,0,1,3275
