cell,rep,transfer,h2d_ms,h2d_GBps,device_ck_ok,host_ck_ok
flush,3,4,2.938,22.838,pass,pass
flush,3,5,2.937,22.849,pass,pass
flush,3,6,2.943,22.799,pass,pass
flush,3,7,2.940,22.824,pass,pass
flush,3,8,2.942,22.810,pass,pass
flush,3,9,2.938,22.844,pass,pass
flush,3,10,2.938,22.842,pass,pass
flush,3,11,2.938,22.844,pass,pass
flush,3,12,2.938,22.841,pass,pass
flush,3,13,2.939,22.836,pass,pass
flush,3,14,2.939,22.831,pass,pass
flush,3,15,2.925,22.947,pass,pass
flush,3,16,2.934,22.876,pass,pass
flush,1,1,161.273,0.416,pass,pass
flush,1,2,8.887,7.551,pass,pass
flush,1,3,2.969,22.602,pass,pass
flush,1,4,2.958,22.690,pass,pass
flush,1,5,2.945,22.787,pass,pass
flush,1,6,2.954,22.715,pass,pass
flush,1,7,2.951,22.744,pass,pass
flush,1,8,2.946,22.783,pass,pass
flush,1,9,2.952,22.736,pass,pass
flush,1,10,2.942,22.809,pass,pass
flush,1,11,2.951,22.743,pass,pass
flush,1,12,2.956,22.703,pass,pass
flush,1,13,2.953,22.727,pass,pass
flush,1,14,2.955,22.713,pass,pass
flush,1,15,2.956,22.701,pass,pass
flush,1,16,2.947,22.769,pass,pass
flush,5,1,160.514,0.418,pass,pass
flush,5,2,9.080,7.391,pass,pass
flush,5,3,2.956,22.702,pass,pass
flush,5,4,2.944,22.791,pass,pass
flush,5,5,2.948,22.763,pass,pass
flush,5,6,2.941,22.816,pass,pass
flush,5,7,2.941,22.817,pass,pass
flush,5,8,2.940,22.829,pass,pass
flush,5,9,2.940,22.823,pass,pass
flush,5,10,2.941,22.820,pass,pass
flush,5,11,2.940,22.830,pass,pass
flush,5,12,2.940,22.828,pass,pass
flush,5,13,2.942,22.814,pass,pass
flush,5,14,2.942,22.812,pass,pass
flush,5,15,2.937,22.852,pass,pass
flush,5,16,2.940,22.827,pass,pass
fence,2,1,159.675,0.420,pass,pass
fence,2,2,8.560,7.840,pass,pass
fence,2,3,2.972,22.578,pass,pass
fence,2,4,2.947,22.774,pass,pass
fence,2,5,2.938,22.845,pass,pass
fence,2,6,2.944,22.797,pass,pass
fence,2,7,2.938,22.844,pass,pass
fence,2,8,2.949,22.756,pass,pass
fence,2,9,2.934,22.872,pass,pass
fence,2,10,2.939,22.833,pass,pass
fence,2,11,2.954,22.718,pass,pass
fence,2,12,2.958,22.687,pass,pass
fence,2,13,2.952,22.732,pass,pass
fence,2,14,2.948,22.765,pass,pass
fence,2,15,2.947,22.774,pass,pass
fence,2,16,2.941,22.816,pass,pass
strict,1,1,162.003,0.414,pass,pass
strict,1,2,10.276,6.531,pass,pass
strict,1,3,9.973,6.729,pass,pass
strict,1,4,9.940,6.752,pass,pass
strict,1,5,9.816,6.837,pass,pass
strict,1,6,9.923,6.763,pass,pass
strict,1,7,9.856,6.809,pass,pass
