routine,payload_bytes,rt_us,server_us
cudaRegisterFunction,427,58,0
cudaRegisterFunction,463,62,0
cudaRegisterFunction,433,59,0
cudaRegisterFunction,469,56,0
cudaRegisterFunction,437,61,0
cudaRegisterFunction,473,66,0
cudaRegisterFunction,445,63,0
cudaRegisterFunction,481,64,0
cudaRegisterFunction,421,64,0
cudaRegisterFunction,457,65,0
cudaRegisterFunction,427,67,0
cudaRegisterFunction,463,64,0
cudaRegisterFunction,431,60,0
cudaRegisterFunction,467,63,0
cudaRegisterFunction,439,64,0
cudaRegisterFunction,475,65,0
cudaRegisterFunction,415,58,0
cudaRegisterFunction,451,56,0
cudaRegisterFunction,421,54,0
cudaRegisterFunction,457,58,0
cudaRegisterFunction,425,56,0
cudaRegisterFunction,461,59,0
cudaRegisterFunction,433,64,0
cudaRegisterFunction,469,59,0
cudaRegisterFunction,409,63,0
cudaRegisterFunction,445,63,0
cudaRegisterFunction,415,59,0
cudaRegisterFunction,451,63,0
cudaRegisterFunction,419,96,0
cudaRegisterFunction,455,66,0
cudaRegisterFunction,427,66,0
cudaRegisterFunction,463,64,0
cudaRegisterFunction,403,56,0
cudaRegisterFunction,439,55,0
cudaRegisterFunction,451,55,0
cudaRegisterFunction,487,52,0
cudaRegisterFunction,455,55,0
cudaRegisterFunction,491,57,0
cudaRegisterFunction,463,73,0
cudaRegisterFunction,499,65,0
cudaRegisterFunction,439,65,0
cudaRegisterFunction,475,66,0
cudaRegisterFunction,445,67,0
cudaRegisterFunction,481,71,0
cudaRegisterFunction,449,73,0
cudaRegisterFunction,485,65,0
cudaRegisterFunction,457,62,0
cudaRegisterFunction,493,67,0
cudaRegisterFunction,433,60,0
cudaRegisterFunction,469,57,0
cudaRegisterFunction,439,66,0
cudaRegisterFunction,475,65,0
cudaRegisterFunction,443,63,0
cudaRegisterFunction,479,67,0
cudaRegisterFunction,451,63,0
cudaRegisterFunction,487,59,0
cudaRegisterFunction,427,61,0
cudaRegisterFunction,463,67,0
cudaRegisterFunction,433,66,0
cudaRegisterFunction,469,62,0
cudaRegisterFunction,437,60,0
cudaRegisterFunction,473,65,0
cudaRegisterFunction,445,66,0
cudaRegisterFunction,481,73,0
cudaRegisterFunction,421,63,0
cudaRegisterFunction,457,60,0
cudaRegisterFunction,427,60,0
cudaRegisterFunction,463,66,0
cudaRegisterFunction,431,65,0
cudaRegisterFunction,467,63,0
cudaRegisterFunction,439,58,0
cudaRegisterFunction,475,61,0
cudaRegisterFunction,415,65,0
cudaRegisterFunction,451,65,0
cudaRegisterFunction,421,64,0
cudaRegisterFunction,457,65,0
cudaRegisterFunction,425,61,0
cudaRegisterFunction,461,57,0
cudaRegisterFunction,433,52,0
cudaRegisterFunction,469,66,0
cudaRegisterFunction,409,67,0
cudaRegisterFunction,445,64,0
cudaRegisterFunction,415,62,0
cudaRegisterFunction,451,66,0
cudaRegisterFunction,419,62,0
cudaRegisterFunction,455,64,0
cudaRegisterFunction,427,60,0
cudaRegisterFunction,463,57,0
cudaRegisterFunction,403,57,0
cudaRegisterFunction,439,65,0
cudaRegisterFunction,409,60,0
cudaRegisterFunction,445,72,0
cudaRegisterFunction,413,56,0
cudaRegisterFunction,449,54,0
cudaRegisterFunction,421,63,0
cudaRegisterFunction,457,59,0
cudaRegisterFunction,397,54,0
cudaRegisterFunction,433,59,0
cudaRegisterFunction,409,55,0
cudaRegisterFunction,445,52,0
cudaRegisterFunction,413,55,0
cudaRegisterFunction,449,54,0
cudaRegisterFunction,421,120,0
cudaRegisterFunction,457,69,0
cudaRegisterFunction,397,66,0
cudaRegisterFunction,433,63,0
cudaRegisterFunction,409,59,0
cudaRegisterFunction,445,67,0
cudaRegisterFunction,413,60,0
cudaRegisterFunction,449,59,0
cudaRegisterFunction,421,54,0
cudaRegisterFunction,457,59,0
cudaRegisterFunction,397,71,0
cudaRegisterFunction,433,63,0
cudaRegisterFunction,409,59,0
cudaRegisterFunction,445,63,0
cudaRegisterFunction,413,69,0
cudaRegisterFunction,449,67,0
cudaRegisterFunction,421,64,0
cudaRegisterFunction,457,64,0
cudaRegisterFunction,397,63,0
cudaRegisterFunction,433,56,0
cudaRegisterFunction,409,63,0
cudaRegisterFunction,445,66,0
cudaRegisterFunction,413,67,0
cudaRegisterFunction,449,64,0
cudaRegisterFunction,417,59,0
cudaRegisterFunction,453,63,0
cudaRegisterFunction,397,55,0
cudaRegisterFunction,433,53,0
cudaRegisterVar,186,55,0
cudaRegisterVar,122,54,0
cudaRegisterVar,114,60,0
cudaRegisterVar,2168,62,0
cudaRegisterVar,6262,64,0
cudaRegisterVar,14452,74,0
cudaRegisterVar,15480,70,0
cudaRegisterVar,17524,65,0
cudaRegisterVar,17548,74,0
cudaRegisterVar,120,77,0
cudaRegisterVar,124,59,0
cudaRegisterFatBinaryEnd,966215,397,0
cudaRegisterFatBinary,62671,167,0
cudaRegisterFunction,193,68,0
cudaRegisterFunction,205,80,0
cudaRegisterVar,181,63,0
cudaRegisterVar,122,62,0
cudaRegisterVar,114,65,0
cudaRegisterVar,2168,63,0
cudaRegisterVar,6262,61,0
cudaRegisterVar,14452,62,0
cudaRegisterVar,15480,60,0
cudaRegisterVar,17524,64,0
cudaRegisterVar,17548,65,0
cudaRegisterVar,120,58,0
cudaRegisterVar,124,64,0
cudaRegisterFatBinaryEnd,62671,94,0
cudaRegisterFatBinary,77143,217,0
cudaRegisterFunction,235,71,0
cudaRegisterFunction,219,59,0
cudaRegisterFunction,207,52,0
cudaRegisterVar,178,58,0
cudaRegisterVar,122,51,0
cudaRegisterVar,114,58,0
cudaRegisterVar,2168,59,0
cudaRegisterVar,6262,60,0
cudaRegisterVar,14452,70,0
cudaRegisterVar,15480,69,0
cudaRegisterVar,17524,69,0
cudaRegisterVar,17548,70,0
cudaRegisterVar,120,68,0
cudaRegisterVar,124,63,0
cudaRegisterFatBinaryEnd,77143,128,0
cudaRegisterFatBinary,277503,405,0
cudaRegisterFunction,235,63,0
cudaRegisterFunction,235,55,0
cudaRegisterFunction,235,63,0
cudaRegisterFunction,235,64,0
cudaRegisterFunction,197,60,0
cudaRegisterFunction,197,60,0
cudaRegisterFunction,197,65,0
cudaRegisterFunction,235,63,0
cudaRegisterFunction,235,62,0
