label,mode,n_servers,conc_per,rate,window,npred,completed,offered,fail,timeout,goodput,reqps,eff_batch,deferred,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,slogp_1s,slogp_2s,slogp_5s,pct_slo_1s,pct_slo_2s,pct_slo_5s,backlog_start,backlog_end,max_inflight,jain,stable
v2_bm_n2_l0.5_r1,open,2,1,0.50,80,128,38,38,0,0,60.8,0.47,0.45,0.03,23,890,1275,7.0,15.6,15.7,59,61,61,97,100,100,0,1,3,0.989,STABLE
v2_bm_n2_l1.0_r1,open,2,1,1.00,40,128,40,39,0,0,128.0,1.00,1.42,0.85,349,3152,3408,15.5,15.7,16.3,77,99,128,60,78,100,0,2,5,0.998,STABLE
v2_bm_n2_l1.5_r1,open,2,1,1.50,30,128,52,48,0,0,221.9,1.73,2.00,8.69,9076,17990,19044,15.6,15.7,18.3,4,26,81,2,12,37,3,21,21,0.999,UNSTABLE
v2_bmmps_n2_l0.75_r1,open,2,1,0.75,53,128,39,38,0,0,94.2,0.74,0.75,0.07,23,920,1293,7.1,12.9,13.0,92,94,94,97,100,100,0,2,3,0.999,STABLE
v2_bmmps_n2_l0.5_r1,open,2,1,0.50,80,128,38,38,0,0,60.8,0.47,0.46,0.02,23,904,1096,7.1,12.8,12.9,59,61,61,97,100,100,0,1,3,0.989,STABLE
v2_bmmps_n2_l1.0_r1,open,2,1,1.00,40,128,40,39,0,0,128.0,1.00,1.16,0.33,39,1391,1520,7.1,12.9,13.1,109,128,128,85,100,100,0,1,4,0.998,STABLE
v2_bmmps_n2_l1.5_r1,open,2,1,1.50,30,128,50,48,0,0,213.3,1.67,1.89,4.54,4085,9529,9860,12.8,13.0,13.9,47,64,119,22,30,56,2,13,14,1.000,STABLE
v2_ucx_n2_l0.75_r1,open,2,1,0.75,53,128,39,38,0,0,94.2,0.74,0.76,0.07,32,983,1349,7.2,12.8,12.9,92,94,94,97,100,100,0,2,3,0.999,STABLE
v2_ucx_n2_l0.5_r1,open,2,1,0.50,80,128,38,38,0,0,60.8,0.47,0.45,0.02,31,938,1158,7.2,12.8,12.8,59,61,61,97,100,100,0,1,3,0.989,STABLE
v2_ucx_n2_l1.0_r1,open,2,1,1.00,40,128,40,39,0,0,128.0,1.00,1.19,0.37,188,1683,1776,7.2,12.8,13.7,102,128,128,80,100,100,0,1,4,0.998,STABLE
v2_ucx_n2_l1.5_r1,open,2,1,1.50,30,128,50,48,0,0,213.3,1.67,1.90,4.89,4471,10428,10781,12.8,12.9,14.0,30,51,111,14,24,52,2,14,14,1.000,STABLE
v2_bm_n8_l1.0_r2,open,8,1,1.00,40,128,25,25,0,0,80.0,0.62,0.87,0.16,34,1772,1934,7.0,24.2,24.6,67,80,80,84,100,100,0,2,4,0.546,STABLE
v2_bm_n8_l0.75_r2,open,8,1,0.75,53,128,23,23,0,0,55.5,0.43,0.50,0.02,24,360,1192,7.0,15.7,24.3,53,56,56,96,100,100,0,1,3,0.575,STABLE
v2_bm_n8_l0.5_r2,open,8,1,0.50,80,128,23,23,0,0,36.8,0.29,0.28,0.01,24,40,609,7.0,15.6,15.7,37,37,37,100,100,100,0,1,3,0.682,STABLE
v2_bm_n8_l1.5_r2,open,8,1,1.50,30,128,33,32,0,0,140.8,1.10,1.92,0.96,44,7277,10762,15.6,40.9,41.1,107,111,128,76,79,91,0,8,8,0.664,STABLE
v2_bmmps_n8_l1.0_r2,open,8,1,1.00,40,128,25,25,0,0,80.0,0.62,0.77,0.05,39,569,1397,7.1,18.7,18.8,77,80,80,96,100,100,0,2,4,0.546,STABLE
v2_bmmps_n8_l0.75_r2,open,8,1,0.75,53,128,23,23,0,0,55.5,0.43,0.47,0.02,23,115,879,7.1,12.9,18.7,56,56,56,100,100,100,0,1,3,0.575,STABLE
v2_bmmps_n8_l0.5_r2,open,8,1,0.50,80,128,23,23,0,0,36.8,0.29,0.28,0.01,23,39,475,7.1,12.8,12.9,37,37,37,100,100,100,0,1,2,0.682,STABLE
v2_bmmps_n8_l1.5_r2,open,8,1,1.50,30,128,33,32,0,0,140.8,1.10,1.54,0.49,47,2395,3445,12.8,24.8,30.7,115,119,141,82,85,100,0,5,5,0.664,STABLE
v2_ucx_n8_l1.0_r2,open,8,1,1.00,40,128,25,25,0,0,80.0,0.62,0.72,0.06,187,600,1534,7.2,12.8,13.7,77,80,80,96,100,100,0,2,4,0.546,STABLE
v2_ucx_n8_l0.75_r2,open,8,1,0.75,53,128,23,23,0,0,55.5,0.43,0.48,0.02,32,348,937,7.2,12.8,12.9,56,56,56,100,100,100,0,1,3,0.575,STABLE
v2_ucx_n8_l0.5_r2,open,8,1,0.50,80,128,23,23,0,0,36.8,0.29,0.25,0.01,32,197,544,7.2,12.8,12.8,37,37,37,100,100,100,0,1,2,0.682,STABLE
v2_ucx_n8_l1.5_r2,open,8,1,1.50,30,128,33,32,0,0,140.8,1.10,1.45,0.52,373,2474,3744,12.7,18.7,19.1,111,119,141,79,85,100,0,4,5,0.664,STABLE
v2_bm_n4_l1.0_r2,open,4,1,1.00,40,128,25,25,0,0,80.0,0.62,0.76,0.21,36,1466,1920,7.0,15.7,24.1,67,80,80,84,100,100,0,2,4,0.755,STABLE
v2_bm_n4_l0.75_r2,open,4,1,0.75,53,128,23,23,0,0,55.5,0.43,0.42,0.05,24,972,1068,7.0,15.7,15.7,53,56,56,96,100,100,0,1,3,0.792,STABLE
v2_bm_n4_l0.5_r2,open,4,1,0.50,80,128,23,23,0,0,36.8,0.29,0.24,0.02,23,535,584,7.0,7.1,15.7,37,37,37,100,100,100,0,1,2,0.811,STABLE
v2_bm_n4_l1.5_r2,open,4,1,1.50,30,128,33,32,0,0,140.8,1.10,1.54,1.14,43,6694,8292,15.6,24.4,32.5,94,107,124,67,76,88,0,7,7,0.813,STABLE
v2_bmmps_n4_l1.0_r2,open,4,1,1.00,40,128,25,25,0,0,80.0,0.62,0.66,0.13,39,1148,1793,7.1,12.9,18.7,74,80,80,92,100,100,0,2,3,0.755,STABLE
v2_bmmps_n4_l0.75_r2,open,4,1,0.75,53,128,23,23,0,0,55.5,0.43,0.40,0.05,24,968,1021,7.1,12.8,13.0,53,56,56,96,100,100,0,1,3,0.792,STABLE
v2_bmmps_n4_l0.5_r2,open,4,1,0.50,80,128,23,23,0,0,36.8,0.29,0.26,0.02,24,564,612,7.1,7.3,12.8,37,37,37,100,100,100,0,1,2,0.811,STABLE
v2_bmmps_n4_l1.5_r2,open,4,1,1.50,30,128,33,32,0,0,140.8,1.10,1.40,0.73,47,3151,3782,12.8,18.8,18.9,102,111,141,73,79,100,0,5,5,0.813,STABLE
v2_ucx_n4_l1.0_r2,open,4,1,1.00,40,128,25,25,0,0,80.0,0.62,0.66,0.15,188,1210,1939,7.2,12.8,13.0,74,80,80,92,100,100,0,2,3,0.755,STABLE
v2_ucx_n4_l0.75_r2,open,4,1,0.75,53,128,23,23,0,0,55.5,0.43,0.40,0.05,32,1033,1068,7.2,12.8,12.9,51,56,56,91,100,100,0,1,3,0.792,STABLE
v2_ucx_n4_l0.5_r2,open,4,1,0.50,80,128,23,23,0,0,36.8,0.29,0.27,0.02,31,621,674,7.2,7.3,12.7,37,37,37,100,100,100,0,1,2,0.811,STABLE
v2_ucx_n4_l1.5_r2,open,4,1,1.50,30,128,33,32,0,0,140.8,1.10,1.29,0.73,282,3369,4045,12.7,18.7,18.9,98,111,141,70,79,100,0,5,5,0.813,STABLE
v2_bm_n2_l1.0_r2,open,2,1,1.00,40,128,25,25,0,0,80.0,0.62,0.64,0.21,35,1353,1930,7.0,15.7,15.7,67,80,80,84,100,100,0,2,4,0.838,STABLE
v2_bm_n2_l0.75_r2,open,2,1,0.75,53,128,23,23,0,0,55.5,0.43,0.44,0.05,23,972,1011,7.0,15.6,15.7,53,56,56,96,100,100,0,1,3,0.867,STABLE
v2_bm_n2_l0.5_r2,open,2,1,0.50,80,128,23,23,0,0,36.8,0.29,0.25,0.02,23,534,594,7.0,7.1,15.7,37,37,37,100,100,100,0,1,2,0.955,STABLE
v2_bm_n2_l1.5_r2,open,2,1,1.50,30,128,33,32,0,0,140.8,1.10,1.19,1.21,409,5163,5328,7.0,15.7,16.1,81,94,128,58,67,91,0,5,6,0.900,STABLE
v2_bmmps_n2_l1.0_r2,open,2,1,1.00,40,128,25,25,0,0,80.0,0.62,0.60,0.20,39,1253,1794,7.1,12.9,13.0,70,80,80,88,100,100,0,2,3,0.838,STABLE
v2_bmmps_n2_l0.75_r2,open,2,1,0.75,53,128,23,23,0,0,55.5,0.43,0.42,0.05,24,1020,1043,7.1,12.8,12.9,51,56,56,91,100,100,0,1,3,0.867,STABLE
v2_bmmps_n2_l0.5_r2,open,2,1,0.50,80,128,23,23,0,0,36.8,0.29,0.26,0.02,23,564,626,7.1,7.2,12.9,37,37,37,100,100,100,0,1,2,0.955,STABLE
v2_bmmps_n2_l1.5_r2,open,2,1,1.50,30,128,33,32,0,0,140.8,1.10,1.12,0.99,401,3685,4188,7.1,12.9,13.1,85,102,141,61,73,100,0,4,5,0.900,STABLE
v2_ucx_n2_l1.0_r2,open,2,1,1.00,40,128,25,25,0,0,80.0,0.62,0.64,0.19,190,1303,1925,7.2,12.8,13.0,67,80,80,84,100,100,0,2,3,0.838,STABLE
v2_ucx_n2_l0.75_r2,open,2,1,0.75,53,128,23,23,0,0,55.5,0.43,0.44,0.05,32,1070,1100,7.2,12.8,12.8,51,56,56,91,100,100,0,1,3,0.867,STABLE
v2_ucx_n2_l0.5_r2,open,2,1,0.50,80,128,23,23,0,0,36.8,0.29,0.26,0.03,31,620,680,7.2,7.3,12.8,37,37,37,100,100,100,0,1,2,0.955,STABLE
v2_ucx_n2_l1.5_r2,open,2,1,1.50,30,128,33,32,0,0,140.8,1.10,1.16,1.08,432,3986,4408,7.2,12.8,13.0,85,98,141,61,70,100,0,4,5,0.900,STABLE
v2_bm_n8_l1.5_r3,open,8,1,1.50,30,128,51,43,3,3,217.6,1.70,7.16,10.57,6797,21484,22118,56.9,65.5,69.7,47,47,77,22,22,35,10,24,25,0.911,UNSTABLE
v2_bm_n8_l0.75_r3,open,8,1,0.75,53,128,40,39,0,0,96.6,0.75,1.62,0.37,41,3777,4192,15.5,40.8,49.2,80,85,97,82,88,100,0,1,8,0.813,STABLE
v2_bm_n8_l1.0_r3,open,8,1,1.00,40,128,45,39,0,0,144.0,1.12,3.74,1.36,60,7629,8907,32.4,49.3,57.4,96,102,128,67,71,89,6,7,11,0.825,STABLE
v2_bm_n8_l0.5_r3,open,8,1,0.50,80,128,40,38,0,0,64.0,0.50,0.70,0.02,24,650,891,7.0,24.3,32.7,64,64,64,100,100,100,0,1,4,0.840,STABLE
v2_bmmps_n8_l1.5_r3,open,8,1,1.50,30,128,50,43,0,0,213.3,1.67,5.31,4.21,2508,9947,12761,30.7,43.1,48.8,90,94,149,42,44,70,6,12,16,0.888,STABLE
v2_bmmps_n8_l0.75_r3,open,8,1,0.75,53,128,39,39,0,0,94.2,0.74,1.15,0.11,38,1019,2049,12.7,24.7,29.0,89,92,94,95,97,100,0,1,6,0.830,STABLE
v2_bmmps_n8_l1.0_r3,open,8,1,1.00,40,128,42,39,0,0,134.4,1.05,1.94,0.45,48,3293,3604,12.9,31.2,36.8,112,122,134,83,90,100,1,2,8,0.811,STABLE
v2_bmmps_n8_l0.5_r3,open,8,1,0.50,80,128,39,38,0,0,62.4,0.49,0.60,0.01,24,421,687,7.1,18.7,24.5,62,62,62,100,100,100,0,1,4,0.830,STABLE
v2_ucx_n8_l1.5_r3,open,8,1,1.50,30,128,50,43,0,0,213.3,1.67,5.10,3.70,2743,10466,12228,18.8,36.8,42.0,51,85,145,24,40,68,5,12,16,0.888,STABLE
v2_ucx_n8_l0.75_r3,open,8,1,0.75,53,128,39,39,0,0,94.2,0.74,1.01,0.06,185,1562,2289,7.3,18.7,19.2,87,92,94,92,97,100,0,1,5,0.830,STABLE
v2_ucx_n8_l1.0_r3,open,8,1,1.00,40,128,42,39,0,0,134.4,1.05,1.63,0.39,451,3301,4304,12.8,18.9,24.8,102,118,134,76,88,100,2,2,8,0.811,STABLE
v2_ucx_n8_l0.5_r3,open,8,1,0.50,80,128,39,38,0,0,62.4,0.49,0.55,0.01,32,750,952,7.2,12.8,13.1,62,62,62,100,100,100,0,1,4,0.830,STABLE
v2_bm_n4_l1.5_r3,open,4,1,1.50,30,128,50,43,2,2,213.3,1.67,3.79,12.39,10229,22516,23417,32.2,32.7,35.6,30,34,73,14,16,34,9,23,23,0.959,UNSTABLE
v2_bm_n4_l0.75_r3,open,4,1,0.75,53,128,40,39,0,0,96.6,0.75,1.15,0.56,41,4293,5498,7.0,24.2,32.3,70,85,94,72,88,98,0,1,7,0.897,STABLE
v2_bm_n4_l1.0_r3,open,4,1,1.00,40,128,44,39,0,0,140.8,1.10,2.34,1.88,861,8112,11099,23.2,30.3,32.6,74,83,122,52,59,86,4,5,9,0.913,STABLE
v2_bm_n4_l0.5_r3,open,4,1,0.50,80,128,40,38,0,0,64.0,0.50,0.57,0.08,24,874,1462,7.0,15.7,24.4,62,64,64,98,100,100,0,1,4,0.922,STABLE
v2_bmmps_n4_l1.5_r3,open,4,1,1.50,30,128,49,43,0,0,209.1,1.63,3.35,5.84,3942,12390,15049,18.8,24.8,25.2,68,77,124,33,37,59,5,11,14,0.939,STABLE
v2_bmmps_n4_l0.75_r3,open,4,1,0.75,53,128,39,39,0,0,94.2,0.74,0.95,0.25,39,2235,2580,7.1,18.7,18.8,77,89,94,82,95,100,0,1,5,0.899,STABLE
v2_bmmps_n4_l1.0_r3,open,4,1,1.00,40,128,41,39,0,0,131.2,1.02,1.53,0.82,47,3791,5935,12.8,18.8,24.7,86,115,128,66,88,98,2,2,8,0.904,STABLE
v2_bmmps_n4_l0.5_r3,open,4,1,0.50,80,128,39,38,0,0,62.4,0.49,0.53,0.06,24,906,1138,7.1,12.9,18.7,61,62,62,97,100,100,0,1,4,0.899,STABLE
v2_ucx_n4_l1.5_r3,open,4,1,1.50,30,128,49,43,0,0,209.1,1.63,3.15,5.66,4375,13264,15413,12.9,19.1,25.0,55,73,111,27,35,53,5,12,14,0.939,STABLE
v2_ucx_n4_l0.75_r3,open,4,1,0.75,53,128,39,39,0,0,94.2,0.74,0.90,0.24,189,2301,2816,7.2,12.9,14.3,75,87,94,79,92,100,0,1,5,0.899,STABLE
v2_ucx_n4_l1.0_r3,open,4,1,1.00,40,128,41,39,0,0,131.2,1.02,1.51,0.82,455,3923,6170,12.7,18.7,19.1,83,109,128,63,83,98,2,2,8,0.904,STABLE
v2_ucx_n4_l0.5_r3,open,4,1,0.50,80,128,39,38,0,0,62.4,0.49,0.51,0.06,31,960,1190,7.2,12.8,18.5,61,62,62,97,100,100,0,1,4,0.899,STABLE
v2_bm_n2_l1.5_r3,open,2,1,1.50,30,128,51,43,0,0,217.6,1.70,2.00,12.46,12366,18440,18902,15.5,15.7,16.3,0,0,26,0,0,12,7,21,21,0.990,UNSTABLE
v2_bm_n2_l0.75_r3,open,2,1,0.75,53,128,40,39,0,0,96.6,0.75,0.99,0.64,232,4269,4568,7.0,15.7,15.9,65,82,97,68,85,100,0,1,6,0.998,STABLE
v2_bm_n2_l1.0_r3,open,2,1,1.00,40,128,43,39,0,0,137.6,1.07,1.69,1.97,1648,6850,8732,15.5,15.7,16.3,45,80,118,33,58,86,4,5,8,0.995,STABLE
v2_bm_n2_l0.5_r3,open,2,1,0.50,80,128,40,38,0,0,64.0,0.50,0.55,0.09,23,973,1452,7.0,15.6,15.7,62,64,64,98,100,100,0,1,4,1.000,STABLE
v2_bmmps_n2_l1.5_r3,open,2,1,1.50,30,128,49,43,0,0,209.1,1.63,1.99,7.38,6438,9359,9673,12.8,13.0,14.0,13,26,77,6,12,37,5,12,14,0.990,STABLE
v2_bmmps_n2_l0.75_r3,open,2,1,0.75,53,128,39,39,0,0,94.2,0.74,0.85,0.34,38,2693,2736,7.1,12.9,13.0,75,89,94,79,95,100,0,1,5,0.999,STABLE
v2_bmmps_n2_l1.0_r3,open,2,1,1.00,40,128,41,39,0,0,131.2,1.02,1.28,1.00,825,3826,5839,12.7,12.9,13.1,70,109,128,54,83,98,2,2,7,0.995,STABLE
v2_bmmps_n2_l0.5_r3,open,2,1,0.50,80,128,39,38,0,0,62.4,0.49,0.52,0.06,23,904,1136,7.1,12.9,13.0,61,62,62,97,100,100,0,1,4,0.999,STABLE
v2_ucx_n2_l1.5_r3,open,2,1,1.50,30,128,50,43,0,0,213.3,1.67,2.00,7.68,7023,10231,10703,12.8,12.9,14.0,4,21,64,2,10,30,5,13,14,0.994,STABLE
v2_ucx_n2_l0.75_r3,open,2,1,0.75,53,128,39,39,0,0,94.2,0.74,0.86,0.40,187,2979,2990,7.2,12.8,13.0,72,87,94,77,92,100,0,1,5,0.999,STABLE
v2_ucx_n2_l1.0_r3,open,2,1,1.00,40,128,41,39,0,0,131.2,1.02,1.31,1.07,1025,4113,6255,7.3,12.8,13.8,61,102,128,46,78,98,2,2,7,0.995,STABLE
v2_ucx_n2_l0.5_r3,open,2,1,0.50,80,128,39,38,0,0,62.4,0.49,0.53,0.08,31,960,1188,7.2,12.8,12.9,61,62,62,97,100,100,0,1,4,0.999,STABLE
